,track_id,name,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_sig,date_added
247,6KVM6U9Wcxgjh0jDjoRDgh,Waiting for the Sun,The Doors,0.554,0.512,9,-7.6,0,0.0237,0.0836,0.000332,0.103,0.236,89.296,238627,4,2016-07-14T17:47:51Z
248,1MR950KaknDDJ2PyU5NQDa,You Make Me Real,The Doors,0.497,0.795,0,-6.708,1,0.0304,0.386,0.00794,0.168,0.965,145.591,171293,3,2016-07-14T17:47:51Z
249,5piJiL6aRhvrKBa9YuEfS9,Peace Frog,The Doors,0.641,0.725,7,-7.376,1,0.039,0.16,0.00321,0.648,0.808,112.529,170133,4,2016-07-14T17:47:51Z
250,2g3JAKjKruTL40VffoGLmg,Blue Sunday,The Doors,0.357,0.331,5,-11.66,1,0.0294,0.61,0.0396,0.0952,0.147,150.315,132949,4,2016-07-14T17:47:51Z
251,2r63hMQCds09Rf30DrNTav,Ship of Fools,The Doors,0.367,0.689,2,-7.231,1,0.0295,0.388,0.0393,0.121,0.493,156.932,188507,4,2016-07-14T17:47:51Z
252,1qnv1QfY7BwG7l39nWYVhB,Land Ho!,The Doors,0.406,0.705,2,-8.343,1,0.0286,0.172,0.00113,0.328,0.894,121.617,249160,4,2016-07-14T17:47:51Z
253,3yDEadQDdmdxYBOeMX6bDW,The Spy,The Doors,0.472,0.402,2,-10.242,1,0.0374,0.215,0.00173,0.0976,0.531,80.632,255600,4,2016-07-14T17:47:51Z
254,1tBMs9Rmw3UMvPJrsXsUyL,Queen of the Highway,The Doors,0.661,0.595,5,-9.582,0,0.037,0.605,0.000667,0.0888,0.697,125.095,167200,4,2016-07-14T17:47:51Z
255,2hdeaGl9nT3UoQIgSqctHj,Indian Summer,The Doors,0.495,0.154,2,-17.792,1,0.0301,0.859,0.139,0.106,0.147,102.673,154067,4,2016-07-14T17:47:51Z
256,6PtRNOkuXALHwogMnc9NCx,Maggie M'Gill,The Doors,0.756,0.474,9,-12.224,0,0.0304,0.104,0.0326,0.0797,0.905,93.771,264333,4,2016-07-14T17:47:51Z
257,3qiyyUfYe7CRYLucrPmulD,Baba O'Riley,The Who,0.489,0.724,5,-8.367,1,0.0352,0.313,0.185,0.287,0.15,117.292,300400,4,2016-07-14T17:49:35Z
258,4Vtl42qX97JBj68TKifBHR,Bargain,The Who,0.452,0.888,3,-7.994,1,0.054,0.0169,0.00341,0.17,0.336,133.883,333587,4,2016-07-14T17:49:35Z
259,1zdmeAd3wE2VlrrxpAAEgr,Love Ain't For Keeping,The Who,0.554,0.818,2,-6.864,1,0.0362,0.0779,0.0106,0.341,0.512,142.339,130720,4,2016-07-14T17:49:35Z
260,04jUWHa4mIZKn7duaD2gXW,My Wife,The Who,0.581,0.935,11,-6.779,1,0.0439,0.318,0.359,0.213,0.583,122.014,213680,4,2016-07-14T17:49:35Z
261,1F10hpkS0xntdnTZ4bIjTp,The Song Is Over,The Who,0.36,0.652,5,-7.552,1,0.0443,0.47,0.00118,0.101,0.265,106.46,376613,4,2016-07-14T17:49:35Z
262,0M7tdKXvtrEk26j8nXFtvC,Getting In Tune,The Who,0.369,0.759,0,-8.304,1,0.0602,0.124,0.0143,0.108,0.555,139.65,288453,4,2016-07-14T17:49:35Z
263,236pPQUEDapfH7Jn6rbhBa,Going Mobile,The Who,0.526,0.843,9,-7.512,1,0.0343,0.266,0.00671,0.139,0.608,136.262,222067,4,2016-07-14T17:49:35Z
264,0cKk8BKEi7zXbdrYdyqBP5,Behind Blue Eyes,The Who,0.394,0.622,4,-8.258,0,0.0336,0.213,4.45e-05,0.0892,0.342,126.844,221427,4,2016-07-14T17:49:35Z
265,0cJPLFrlV7TTCyPLupHzcH,Won't Get Fooled Again - Original Album Version,The Who,0.686,0.92,2,-6.231,1,0.0566,0.301,0.27,0.0807,0.225,135.027,511400,4,2016-07-14T17:49:35Z
266,57460SJgSpCXaRJ9YIYHxy,Going Up The Country,Canned Heat,0.653,0.239,5,-18.54,0,0.0453,0.806,0.0146,0.132,0.765,80.392,171373,4,2016-07-14T17:51:57Z
267,65grU65es0Mb5yYod7GUU0,Poor Moon - Remastered 2005,Canned Heat,0.582,0.477,1,-6.881,1,0.0389,0.567,0.0,0.106,0.458,140.747,206333,4,2016-07-14T17:52:01Z
268,0CaBBQsaAiRHhiLmzi7ZRp,Two Of Us - Remastered 2009,The Beatles,0.726,0.702,7,-10.757,1,0.032,0.0974,3.46e-05,0.239,0.931,109.114,216813,4,2016-07-14T17:53:28Z
269,4OUmlC67FoPLvQNuE5C7kF,Dig A Pony - Remastered 2009,The Beatles,0.538,0.478,11,-8.957,0,0.0388,0.472,0.0,0.17,0.527,59.004,235000,4,2016-07-14T17:53:28Z
270,4dkoqJrP0L8FXftrMZongF,Across The Universe - Remastered 2009,The Beatles,0.257,0.412,1,-11.788,1,0.0287,0.361,8.68e-05,0.0702,0.858,152.126,228133,4,2016-07-14T17:53:28Z
